scope	hero_offset	hero_name	bone_id	bone_name	public_radius_m	public_shape	source_url	source_note	confidence	missing_reason	runtime_fallback_radius_m
all_current_roster	*	all heroes	BONE_HEAD	head	unknown	fitted critical mesh	https://github.com/pluzorminuz/ow-hitbox	Public ow-hitbox project provides Workshop/Blender visualizations and fitted critical/body meshes, but no current stable per-hero head radius table.	0.45	Public source is visual/mesh aggregate, not a normalized hero->bone->radius table.	0.16
all_current_roster	*	all heroes	BONE_CHEST	chest/body	unknown	fitted body mesh	https://github.com/pluzorminuz/ow-hitbox	Public ow-hitbox project provides body hitbox mesh visualizations and relative surface/volume metrics, but not per-bone chest radius values.	0.45	Public source is visual/mesh aggregate, not a normalized hero->bone->radius table.	0.22
all_current_roster	*	all heroes	BONE_BODY	body	unknown	fitted body mesh	https://github.com/pluzorminuz/ow-hitbox	Runtime fallback mirrors chest/body radius until a measured per-bone table exists.	0.20	Public source is visual/mesh aggregate, not a normalized hero->bone->radius table.	0.22
all_current_roster	*	all heroes	BONE_BODY_BOT	lower_body	unknown	fitted body mesh	https://github.com/pluzorminuz/ow-hitbox	Runtime fallback mirrors pelvis/lower-body radius until a measured per-bone table exists.	0.20	Public source is visual/mesh aggregate, not a normalized hero->bone->radius table.	0.20
all_current_roster	*	all heroes	BONE_NECK	neck	unknown	unknown	https://github.com/pluzorminuz/ow-hitbox	No public neck-bone radius table found in the inspected hitbox resources.	0.20	Public sources do not expose neck as a separate measured bone radius.	0.14
all_current_roster	*	all heroes	BONE_PELVIS	pelvis	unknown	unknown	https://github.com/pluzorminuz/ow-hitbox	No public pelvis-bone radius table found in the inspected hitbox resources.	0.20	Public sources do not expose pelvis as a separate measured bone radius.	0.20
all_current_roster	*	all heroes	BONE_R_SHOULDER	right_shoulder	unknown	unknown	https://github.com/pluzorminuz/ow-hitbox	No public shoulder-bone radius table found in the inspected hitbox resources.	0.20	Public sources do not expose shoulder bones as separate measured radii.	0.13
all_current_roster	*	all heroes	BONE_L_SHOULDER	left_shoulder	unknown	unknown	https://github.com/pluzorminuz/ow-hitbox	No public shoulder-bone radius table found in the inspected hitbox resources.	0.20	Public sources do not expose shoulder bones as separate measured radii.	0.13
all_current_roster	*	all heroes	BONE_R_ELBOW	right_elbow	unknown	unknown	https://github.com/pluzorminuz/ow-hitbox	Temporary limb fallback extrapolated from shoulder/hand radii.	0.15	Public sources do not expose elbow bones as separate measured radii.	0.11
all_current_roster	*	all heroes	BONE_L_ELBOW	left_elbow	unknown	unknown	https://github.com/pluzorminuz/ow-hitbox	Temporary limb fallback extrapolated from shoulder/hand radii.	0.15	Public sources do not expose elbow bones as separate measured radii.	0.11
all_current_roster	*	all heroes	BONE_R_HAND	right_hand	unknown	unknown	https://github.com/pluzorminuz/ow-hitbox	No public hand-bone radius table found in the inspected hitbox resources.	0.20	Public sources do not expose hand bones as separate measured radii.	0.10
all_current_roster	*	all heroes	BONE_L_HAND	left_hand	unknown	unknown	https://github.com/pluzorminuz/ow-hitbox	No public hand-bone radius table found in the inspected hitbox resources.	0.20	Public sources do not expose hand bones as separate measured radii.	0.10
all_current_roster	*	all heroes	BONE_R_KNEE	right_knee	unknown	unknown	https://github.com/pluzorminuz/ow-hitbox	Temporary limb fallback extrapolated from lower-body/ankle radii.	0.15	Public sources do not expose knee bones as separate measured radii.	0.12
all_current_roster	*	all heroes	BONE_L_KNEE	left_knee	unknown	unknown	https://github.com/pluzorminuz/ow-hitbox	Temporary limb fallback extrapolated from lower-body/ankle radii.	0.15	Public sources do not expose knee bones as separate measured radii.	0.12
all_current_roster	*	all heroes	BONE_R_SHANK	right_shank	unknown	unknown	https://github.com/pluzorminuz/ow-hitbox	Temporary limb fallback extrapolated from lower-body/ankle radii.	0.15	Public sources do not expose shank bones as separate measured radii.	0.11
